#feature	value	weight	wins	losses
#_bias_	1	-2.7518411508024236	39426642	617872998
pattern	23	-2.868855562277319	17283	4771536
pattern	24	-0.8048825533761053	157757	5529097
pattern	25	-3.8364838374302477	13609	9887839
pattern	26	-1.8533592751438865	56444	5644576
pattern	27	-3.009644007575492	17817	5662618
pattern	28	-4.72977595664669	5981	10617039
pattern	29	-5.565548783150261	2162	8852481
pattern	30	-2.8634151520043805	16789	4610003
pattern	31	-1.975932992989826	41427	4683066
pattern	32	-2.5529730290178123	25054	5043472
pattern	33	-1.980458615629273	39170	4448011
pattern	34	-2.0410021849156874	68086	8214168
pattern	35	-8.184642582094765	157	8825323
pattern	36	-2.4284161685038153	46534	8270430
pattern	37	-0.8789867565014295	74130	2797968
pattern	38	-1.4884560030286587	40484	2810746
pattern	39	-4.755126135077168	4301	7830875
pattern	40	-6.839849162652751	714	10455749
pattern	41	-5.608223700862791	2434	10400685
pattern	42	-1.4270110851422733	37167	2426669
pattern	43	-4.978534499794011	2574	5859745
pattern	44	-4.077257057861048	4834	4468399
pattern	45	-5.827518082762533	1451	7720667
pattern	46	-6.112053488527788	827	5848971
pattern	47	-2.381573584090835	14584	2473387
pattern	48	-0.9611641289438886	38983	1597399
pattern	49	-0.919957466215112	43927	1727324
pattern	50	-6.77480350301191	322	4418868
pattern	51	-4.801172379935242	1699	3239229
pattern	52	-3.1797755414566633	7498	2824993
pattern	53	-0.4778010172052174	68228	1724164
pattern	54	-4.968452855434936	2087	4703452
pattern	55	-1.0099560661444824	36570	1573451
pattern	56	-3.204723121054367	8281	3198814
pattern	57	-3.536125588463081	5183	2788789
pattern	58	-5.064563153638915	2233	5540160
pattern	59	-2.062331668372232	27069	3336121
pattern	60	-3.0655347161706077	14194	4770467
pattern	61	-2.1531858541658266	34820	4699543
pattern	62	-6.934965641898154	336	5411883
pattern	63	-1.776600800940667	25007	2316007
pattern	64	-5.603704620514006	1088	4628302
pattern	65	-6.67569258671181	459	5704254
pattern	66	-3.103541589367594	6643	2319149
pattern	67	-2.5058552021353897	17303	3322855
pattern	68	-7.030198370767823	318	5633781
pattern	69	-1.3921575079383572	25802	1626934
pattern	70	-4.1149684658039165	1746	1676013
pattern	71	-3.702833388648449	5599	3559138
pattern	72	-2.585482770426614	8830	1836259
pattern	73	-1.9431789574331844	13476	1474294
pattern	74	-2.1557424489959827	15364	2078942
pattern	75	-2.458861709242264	9849	1804572
pattern	76	-4.14002549875985	3732	3673234
pattern	77	-1.7588400178073476	32587	2964893
pattern	78	0.47524066510276197	81652	795576
pattern	79	-2.6696419916302454	13376	3025857
pattern	80	-3.6010827568442614	3675	2110107
pattern	81	-1.1315820911500787	28165	1368547
pattern	82	-2.4163169782054195	15389	2702182
pattern	83	0.36555586560203895	70187	763145
pattern	84	-2.8734543664191246	8865	2458762
pattern	85	-1.8294621142261671	24987	2439775
pattern	86	-2.225386568348909	14638	2123567
pattern	87	-2.683731587461881	11580	2656746
pattern	88	0.6929731228640353	65366	512279
pattern	89	-2.651942918449692	6451	1433721
pattern	90	0.7503115042127035	66620	493012
pattern	91	-2.0287464378306206	10756	1281846
pattern	92	-0.5338818994054476	48244	1289481
pattern	93	-2.1310983708709013	11316	1493925
pattern	94	-4.43247790574445	1937	2554194
pattern	95	-3.436481405492341	7975	3884082
pattern	96	-4.30351341049856	3207	3717141
pattern	97	-3.0258586445870495	4980	1608636
pattern	98	-2.0237242861334654	11564	1371235
pattern	99	-1.0055954516963463	17067	731126
pattern	100	-2.54446959144847	8844	1765266
pattern	101	0.47754045716371263	46922	456134
pattern	102	-0.6747545923527815	26624	819267
pattern	103	-5.8546483022212135	668	3652319
pattern	104	-1.0819664882764515	39847	1842458
pattern	105	-0.611039031710804	43389	1252738
