#value	pattern_data	pattern_string	frequency
15604	5,65567,3103	5|.....|...X.|...OO|.....|#####|	1670
15605	5,1082399,2097183	5|...OX|....X|....X|.....|#####|	1670
15606	5,66591,1214495	5|....O|..OXO|...OX|.....|#####|	1670
15607	5,9,8288	5|.....|.....|.O...|...OO|.X..X|	1670
15608	5,1082913,9479473	5|.O..#|....#|.O..#|XO..#|O...#|	1670
15609	5,128,4196353	5|..O..|.....|...O.|..X..|....O|	1670
15610	5,131,65604	5|.....|...O.|.....|..XO.|..OXX|	1670
15611	5,3526507,12168307	5|.O.##|OX.##|XO.##|XX.##|OX.##|	1669
15612	5,165,2	5|.....|.....|.....|..X.X|..XOX|	1669
15613	5,20464639,17449983	5|#..XX|#.O..|#....|#####|#####|	1669
15614	5,18465311,23740959	5|#.OOX|#.OXX|#....|#....|#####|	1669
15615	5,32799,16910367	5|O....|..O.X|...O.|.....|#####|	1669
15616	5,3772275,20311139	5|O..##|XO.##|OO.##|XX.##|X..##|	1669
15617	5,32799,10552351	5|.O.O.|...OX|....O|.....|#####|	1669
15618	5,2130943,12781567	5|.OOX.|..OOX|....O|#####|#####|	1669
15619	5,166943,7405599	5|..OOO|..XOX|...XX|.....|#####|	1669
15620	5,1040,16896	5|.....|.....|O...X|O....|X....|	1669
15621	5,1615401,1082801	5|....#|X...#|.X..#|XOO.#|OX..#|	1669
15622	5,1623089,1083177	5|....#|X...#|X...#|OO..#|XO..#|	1669
15623	5,4,9699346	5|.O..O|.O...|.....|.....|O.XO.|	1669
15624	5,320,65538	5|.....|...O.|.....|.X.X.|...O.|	1669
15625	5,1032,2144	5|.....|.....|...OX|...OO|.X...|	1669
15626	5,1048607,10651679	5|.O.OX|..O.O|...O.|.....|#####|	1668
15627	5,162,331076	5|.....|.O.O.|...OO|.OXOX|..OX.|	1668
15628	5,1607209,18130209	5|O...#|XO..#|.O..#|XO..#|.X..#|	1668
15629	5,10240,32778	5|.....|....O|.X.X.|.....|.O.O.|	1668
15630	5,17876273,1082913	5|X...#|....#|X...#|OX..#|X...#|	1668
15631	5,3263851,20819171	5|O..##|OO.##|XO.##|.XO##|.X.##|	1668
15632	5,114,133	5|.....|.....|.....|..OXX|X.OXO|	1668
15633	5,7,1048640	5|....O|.....|.....|...O.|..XXX|	1668
15634	5,9,560	5|.....|.....|.....|O...O|OX..X|	1668
15635	5,9,320	5|.....|.....|.....|.O.O.|.X..X|	1668
15636	5,98335,133151	5|.....|..OXX|...O.|.....|#####|	1668
15637	5,66,25	5|.....|.....|.....|...X.|OO.XO|	1668
15638	5,1877055,17876031	5|O...#|XX..#|OX..#|....#|#####|	1668
15639	5,2,1050625	5|....O|.....|...O.|.....|...XO|	1668
15640	5,6,249	5|.....|.....|.....|..OOO|OOXXO|	1668
15641	5,6,1152	5|.....|.....|....O|..O..|..XX.|	1668
15642	5,2944,78	5|.....|.....|...X.|XXXO.|.OOO.|	1667
15643	5,17876991,10389503	5|XO..#|OOO.#|X...#|#####|#####|	1667
15644	5,32799,18350111	5|O...O|O...X|.....|.....|#####|	1667
15645	5,3263859,3780195	5|...##|O..##|XO.##|OX.##|X..##|	1667
15646	5,2163711,21636095	5|O.OX.|O.OX.|.O...|#####|#####|	1667
15647	5,3780331,3263603	5|...##|X..##|OX.##|X.X##|OX.##|	1667
15648	5,34,8201	5|.....|.....|.O...|....X|.O.XO|	1667
15649	5,1607457,1082413	5|....#|X...#|....#|XX..#|.OO.#|	1667
15650	5,66,276	5|.....|.....|.....|.O.X.|O.OX.|	1667
15651	5,1,262672	5|.....|.O...|.....|O....|O...X|	1667
15652	5,1091113,17859633	5|O...#|....#|.X..#|X...#|OX..#|	1667
15653	5,1572895,21233695	5|O.O.X|XO...|.....|.....|#####|	1667
15654	5,160,163848	5|.....|..O.O|.....|..X.X|.O...|	1667
15655	5,35072,5242880	5|..O.O|....X|...X.|.X...|.....|	1667
15656	5,66112,16384	5|.....|...X.|O....|X..X.|.....|	1667
15657	5,224,1048579	5|....O|.....|.....|..XXX|...OO|	1667
15658	5,201,34	5|.....|.....|.....|..XXO|.X.OX|	1667
15659	5,1115135,4850687	5|..O.X|O.OX.|.....|#####|#####|	1667
15660	5,295967,1114143	5|....O|.X.OX|....X|.....|#####|	1667
15661	5,34304,32	5|.....|....X|....X|X...O|.....|	1666
15662	5,18122751,9611263	5|XO..#|.XO.#|.O..#|#####|#####|	1666
15663	5,1278975,10486783	5|.O.OX|..XXX|.....|#####|#####|	1666
15664	5,2656,1024	5|.....|.....|...XO|X..XX|.....|	1666
15665	5,1098785,17868337	5|O...#|....#|XO..#|O...#|O...#|	1666
15666	5,2178,1057	5|.....|.....|...XO|..X.O|...XO|	1666
15667	5,225,8400136	5|.O...|.....|.O.OO|.OXXX|.O..X|	1666
15668	5,2,560	5|.....|.....|.....|O...O|O..X.|	1666
15669	5,3518323,12307555	5|.O.##|OXO##|OX.##|XX.##|X..##|	1666
15670	5,4,2097283	5|...O.|.....|.....|..O..|..XOO|	1666
15671	5,3788643,3247219	5|...##|X..##|X..##|XX.##|O..##|	1666
15672	5,322,132	5|.....|.....|.....|.XOX.|..OX.|	1666
15673	5,71,1056	5|.....|.....|....O|...XO|..XXX|	1665
15674	5,34304,1048576	5|....O|....X|....X|X....|.....|	1665
15675	5,288,16912	5|.....|.....|O....|OX..X|O....|	1665
15676	5,3525747,3256043	5|...##|.X.##|XO.##|O.O##|XO.##|	1665
15677	5,1082921,17859889	5|O...#|....#|....#|XO..#|OX..#|	1665
15678	5,4050547,3255659	5|...##|XX.##|XO.##|XO.##|XO.##|	1665
15679	5,3771507,3518059	5|...##|XO.##|.O.##|O..##|XO.##|	1665
15680	5,1034,8192	5|.....|.....|.O..X|.....|.X.X.|	1665
15681	5,5,416	5|.....|.....|.....|.OO.O|..X.X|	1665
15682	5,131,8	5|.....|.....|.....|..X..|.O.XX|	1665
15683	5,3671039,25428991	5|OO.XX|XO...|.....|#####|#####|	1665
15684	5,74,165	5|.....|.....|.....|..OXO|.XOXO|	1665
15685	5,9356,17168	5|.....|.....|OX..X|OOX..|OXX..|	1664
15686	5,36,1089	5|.....|.....|....O|...OX|..X.O|	1664
15687	5,2178,353	5|.....|.....|...X.|.OXOO|...XO|	1664
15688	5,3772003,3255419	5|...##|X..##|.O.##|X..##|OO.##|	1664
15689	5,0,202	5|.....|.....|.....|..OO.|.O.O.|	1664
15690	5,1082677,1082921	5|....#|....#|....#|OX..#|XOX.#|	1664
15691	5,12161023,3526655	5|.X.##|XO.##|O..##|#####|#####|	1664
15692	5,4050539,28413043	5|OO.##|XX.##|X..##|X..##|OX.##|	1664
15693	5,5801009,1082401	5|..X.#|X...#|....#|....#|X...#|	1664
15694	5,6,2099328	5|...O.|.....|...O.|..O..|..XX.|	1664
15695	5,4,417	5|.....|.....|.....|.OO.O|..X.O|	1664
15696	5,3772027,3263587	5|...##|X..##|O..##|X..##|XX.##|	1664
15697	5,3272051,3771491	5|...##|O..##|XX.##|.X.##|X..##|	1664
15698	5,1623857,26518697	5|OO..#|XO..#|XO..#|XXO.#|XO..#|	1663
15699	5,3263843,12168803	5|.O.##|O..##|XO.##|OX.##|...##|	1663
15700	5,11,272	5|.....|.....|.....|.O...|OX.XX|	1663
15701	5,34,201	5|.....|.....|.....|..OOX|.O.XO|	1663
15702	5,480,23	5|.....|.....|.....|.XXXX|O.OOO|	1663
15703	5,4,2105410	5|...O.|.....|.O...|...O.|..XO.|	1663
15704	5,1055,8423455	5|.O...|....O|...OX|.....|#####|	1663
15705	5,50,1024	5|.....|.....|....O|....X|X..X.|	1663
15706	5,66,1569	5|.....|.....|....O|O..XO|...XO|	1663
15707	5,1082913,9733153	5|.O..#|.O..#|....#|X...#|....#|	1663
15708	5,4,2096	5|.....|.....|...O.|....O|O.X..|	1663
15709	5,1153,12	5|.....|.....|....X|..X..|.OO.X|	1663
15710	5,3146751,4850687	5|..OXX|O.O..|.....|#####|#####|	1663
15711	5,2,163844	5|.....|..O.O|.....|.....|..OX.|	1662
15712	5,18130481,1623073	5|X...#|OX..#|OX..#|X...#|X...#|	1662
15713	5,0,18400319	5|O...O|O...O|O...O|....O|OOOOO|	1662
15714	5,11,160	5|.....|.....|.....|..O.O|.X.XX|	1662
15715	5,68,147456	5|.....|..O..|O....|...X.|..X..|	1662
15716	5,1098785,9479473	5|.O..#|....#|XO..#|.O..#|O...#|	1662
15717	5,9962495,4621311	5|.XO.X|XOO.O|.....|#####|#####|	1662
15718	5,230399,15991807	5|.OOOO|.OXXX|.....|#####|#####|	1662
15719	5,12431359,20041727	5|OX.##|XX.##|OX.##|#####|#####|	1662
15720	5,2294783,21758975	5|O.OX.|OOXX.|.....|#####|#####|	1662
15721	5,3264107,20810867	5|O..##|OO.##|X..##|X..##|OX.##|	1662
15722	5,1,2062	5|.....|.....|...O.|.....|.OOOX|	1662
15723	5,162,68676	5|.....|...O.|...OO|..XOX|..OX.|	1661
15724	5,1153,260	5|.....|.....|....X|.OX..|..O.X|	1661
15725	5,12438907,20024931	5|OX.##|XX.##|X..##|OX.##|XX.##|	1661
15726	5,3263603,20032867	5|O..##|...##|XO.##|.O.##|X..##|	1661
15727	5,130,9	5|.....|.....|.....|..X..|.O.XO|	1661
15728	5,3264251,3247207	5|...##|...##|X..##|X.X##|XXO##|	1661
15729	5,10273,130	5|.....|.....|.X.X.|..O.X|...OX|	1661
15730	5,5,138	5|.....|.....|.....|..O..|.OXOX|	1661
15731	5,1023,20464639	5|O..OO|O....|O....|#####|#####|	1661
15732	5,128,5275648	5|..O.O|....O|.....|..X..|.....|	1661
15733	5,1192,1	5|.....|.....|....X|..X.X|.X..O|	1661
15734	5,15,160	5|.....|.....|.....|..O.O|.XXXX|	1661
15735	5,10272,10519552	5|.O.O.|....O|.X.XO|....X|.....|	1661
15736	5,1280,2081	5|.....|.....|...OX|.X..O|....O|	1661
15737	5,1082933,1082409	5|....#|....#|....#|X...#|XOX.#|	1661
15738	5,1023,9700351	5|.O..O|.O...|.....|#####|#####|	1661
15739	5,1106993,18383905	5|O...#|O...#|XX..#|....#|X...#|	1660
15740	5,449,46	5|.....|.....|.....|.XXXO|.OOOX|	1660
15741	5,1836031,20972543	5|O.O.X|XX...|.....|#####|#####|	1660
15742	5,36,3408259	5|...OO|.O...|.....|.OO.X|..XOO|	1660
15743	5,1082921,1344929	5|....#|.O..#|....#|XOO.#|.X..#|	1660
15744	5,1590271,1023	5|....X|X....|X....|#####|#####|	1660
15745	5,10368,131168	5|.....|..O..|.X.X.|..XOO|.....|	1660
15746	5,10241,2	5|.....|.....|.X.X.|.....|...OX|	1660
15747	5,31,1573919	5|....O|O....|....O|.....|#####|	1660
15748	5,19956735,4916223	5|X.OXX|O.OOX|.....|#####|#####|	1660
15749	5,66,8324	5|.....|.....|.O...|..OX.|..OX.|	1659
15750	5,160,8455168	5|.O...|...O.|....O|..X.X|.....|	1659
15751	5,3263603,12168291	5|.O.##|O..##|XO.##|...##|X..##|	1659
15752	5,197,8400136	5|.O...|.....|.O.OO|.OXX.|.OX.X|	1659
15753	5,1615401,1098785	5|....#|X...#|OX..#|X...#|.X..#|	1659
15754	5,2,2117	5|.....|.....|...O.|...O.|..OXO|	1659
15755	5,2,8388804	5|.O...|.....|.....|..OO.|..OX.|	1659
15756	5,2,65541	5|.....|...O.|.....|.....|..OXO|	1659
15757	5,3263595,3779683	5|...##|O..##|XO.##|...##|.X.##|	1659
15758	5,3271803,4034403	5|...##|OO.##|XX.##|OO.##|XX.##|	1659
15759	5,131,1092	5|.....|.....|....O|..XO.|..OXX|	1659
15760	5,3671039,21234687	5|O.OXX|XO...|.....|#####|#####|	1659
15761	5,3525987,3771515	5|...##|OX.##|X..##|.X.##|OO.##|	1659
15762	5,65567,265247	5|.....|.O.X.|...OO|.....|#####|	1658
15763	5,64,2320	5|.....|.....|...O.|.O.X.|O....|	1658
15764	5,1090865,1082541	5|....#|....#|.X..#|.XO.#|XOO.#|	1658
15765	5,1106977,1082425	5|....#|....#|XX..#|....#|OO..#|	1658
15766	5,128,65584	5|.....|...O.|.....|..X.O|O....|	1658
15767	5,3518067,20040803	5|O..##|.X.##|OX.##|X..##|X..##|	1658
15768	5,130,65540	5|.....|...O.|.....|..X..|..OX.|	1658
15769	5,3263867,3509859	5|...##|.O.##|X..##|OX.##|XX.##|	1658
15770	5,480,29	5|.....|.....|.....|.XXXX|OOO.O|	1658
15771	5,100,513	5|.....|.....|.....|O..XX|..X.O|	1658
15772	5,3771507,3510115	5|...##|XO.##|...##|OO.##|X..##|	1658
15773	5,3788139,20024435	5|O..##|X..##|X..##|.X.##|OX.##|	1658
15774	5,4,14697472	5|.OOO.|.....|O...O|.....|..X..|	1658
15775	5,9,2176	5|.....|.....|...O.|..O..|.X..X|	1658
15776	5,132,35	5|.....|.....|.....|..X.O|..XOO|	1658
15777	5,0,147	5|.....|.....|.....|..O..|O..OO|	1658
15778	5,1,16777222	5|O....|.....|.....|.....|..OOX|	1658
15779	5,33296,1048576	5|....O|....X|.....|X....|X....|	1658
15780	5,1638431,2097183	5|...OX|X..X.|.....|.....|#####|	1658
15781	5,1091113,1868849	5|....#|OO..#|.X..#|X...#|OX..#|	1658
15782	5,249,6	5|.....|.....|.....|..XXX|XXOOX|	1658
15783	5,76,131328	5|.....|..O..|.....|.O.X.|.XX..|	1658
15784	5,1,1696	5|.....|.....|....O|O.O.O|....X|	1658
15785	5,1614889,1099057	5|....#|X...#|OX..#|.O..#|OX..#|	1657
15786	5,2,32773	5|.....|....O|.....|.....|..OXO|	1657
15787	5,4034419,3271787	5|...##|XX.##|OO.##|XX.##|XO.##|	1657
15788	5,84,8	5|.....|.....|.....|...X.|XOX..|	1657
15789	5,0,1585	5|.....|.....|....O|O...O|O...O|	1657
15790	5,5,5242880	5|..O.O|.....|.....|.....|..X.X|	1657
15791	5,6063153,26248225	5|OOX.#|XX..#|....#|....#|X...#|	1657
15792	5,65552,1048576	5|....O|...X.|.....|.....|X....|	1657
15793	5,1152,16400	5|.....|.....|O...X|..X..|O....|	1657
15794	5,558113,0	5|.....|X...X|....X|....X|....X|	1656
15795	5,1082399,133151	5|....X|..O.X|...OX|.....|#####|	1656
15796	5,17876273,1082409	5|X...#|....#|X...#|.X..#|XO..#|	1656
15797	5,1082921,9479457	5|.O..#|....#|.O..#|XO..#|.X..#|	1656
15798	5,1082921,17868069	5|O...#|....#|.O..#|XO..#|.XO.#|	1656
15799	5,2360319,9438207	5|.O.XO|.X...|.....|#####|#####|	1656
15800	5,2360319,17433599	5|O..X.|OXO..|.....|#####|#####|	1656
15801	5,34832,0	5|.....|....X|...X.|.....|X....|	1656
15802	5,64,529	5|.....|.....|.....|O..X.|O...O|	1656
15803	5,66,261	5|.....|.....|.....|.O.X.|..OXO|	1656
15804	5,1099041,1344553	5|....#|.O..#|X...#|.X..#|.O..#|	1656
15805	5,129,16416	5|.....|.....|O....|..X.O|....X|	1656
15806	5,1082431,14206015	5|.OO.#|O...#|O...#|....#|#####|	1656
15807	5,10240,2097160	5|...O.|.....|.X.X.|.....|.O...|	1656
15808	5,6,2432	5|.....|.....|...O.|.OO..|..XX.|	1656
15809	5,1082367,19399679	5|O..OX|O...X|.....|#####|#####|	1656
15810	5,35,1100	5|.....|.....|....O|...OX|.OOXX|	1656
15811	5,40968,2	5|.....|....X|.X...|.....|.X.O.|	1656
15812	5,10224639,23069695	5|OXOOX|XX...|.....|#####|#####|	1656
15813	5,5,16912	5|.....|.....|O....|O....|O.X.X|	1656
15814	5,1552,32768	5|.....|....O|....X|X....|X....|	1655
15815	5,2130943,1573887	5|...XO|O...X|.....|#####|#####|	1655
15816	5,1220,67618	5|.....|...O.|...OX|..XXO|..XO.|	1655
15817	5,9248,2113	5|.....|.....|.X.OX|...OX|....O|	1655
15818	5,1360937,1614881	5|....#|OX..#|XO..#|....#|.X..#|	1655
15819	5,6,4196480	5|..O..|.....|...O.|..O..|..XX.|	1655
15820	5,31,3212319	5|...OO|...O.|....O|.....|#####|	1655
15821	5,12176499,3247715	5|.X.##|X..##|X..##|O..##|X..##|	1655
15822	5,65,16777222	5|O....|.....|.....|...X.|..OOX|	1655
15823	5,1090617,1360929	5|....#|.O..#|OX..#|....#|XX..#|	1655
15824	5,69,1026	5|.....|.....|....O|...X.|..XOX|	1654
15825	5,1160,6	5|.....|.....|....X|..X..|.XOO.|	1654
15826	5,160,18	5|.....|.....|.....|..X.X|O..O.|	1654
15827	5,49,16384	5|.....|.....|O....|....X|X...X|	1654
15828	5,131103,6357023	5|..OO.|..XO.|.....|.....|#####|	1654
15829	5,1099049,1877157	5|....#|OO..#|XO..#|.XO.#|.XO.#|	1654
15830	5,2,540688	5|.....|O....|O....|.....|O..X.|	1654
15831	5,4,2065	5|.....|.....|...O.|.....|O.X.O|	1654
15832	5,432,12	5|.....|.....|.....|.XX.X|XOO..|	1654
15833	5,33823,262175	5|.....|.O..X|....X|.....|#####|	1654
15834	5,2560,655360	5|.....|O.O..|...X.|X....|.....|	1654
15835	5,38,16777217	5|O....|.....|.....|....X|..XXO|	1654
15836	5,1081375,327711	5|....X|.O.OX|.....|.....|#####|	1654
15837	5,1107113,1083189	5|....#|....#|XX..#|OOX.#|OXO.#|	1654
15838	5,2622463,30737407	5|OOOXO|XO.O.|.....|#####|#####|	1653
15839	5,69,256	5|.....|.....|.....|.O.X.|..X.X|	1653
15840	5,3271779,3771499	5|...##|O..##|XX.##|...##|.O.##|	1653
15841	5,3179519,21172223	5|O.OXX|..OOX|...OO|#####|#####|	1653
15842	5,1072,69	5|.....|.....|....X|...OX|X.O.O|	1653
15843	5,9280,67584	5|.....|...O.|.X.OX|...X.|.....|	1653
15844	5,20303871,11767807	5|XO.##|.XO##|X..##|#####|#####|	1653
15845	5,1,17301506	5|O....|O....|.....|.....|...OX|	1653
15846	5,1040,9	5|.....|.....|....X|.....|XO..O|	1653
15847	5,137,16	5|.....|.....|.....|..X..|OX..X|	1653
15848	5,5833727,33791	5|..X.X|X..XO|.....|#####|#####|	1653
15849	5,1082673,9496097	5|.O..#|....#|OO..#|OX..#|X...#|	1653
15850	5,1049631,2195487	5|...OX|...OO|....X|.....|#####|	1653
15851	5,3271779,3510115	5|...##|.O.##|XX.##|OO.##|...##|	1652
15852	5,65,17440	5|.....|.....|O...O|...XO|....X|	1652
15853	5,1152,8456	5|.....|.....|.O..X|.OX..|.O...|	1652
15854	5,128,7602179	5|..OOO|.O...|.....|..X..|...OO|	1652
15855	5,66591,165919	5|.....|..OXO|...OX|.....|#####|	1652
15856	5,9216,16400	5|.....|.....|OX..X|.....|O....|	1652
15857	5,1176,0	5|.....|.....|....X|..X..|XX...|	1652
15858	5,3263867,3518051	5|...##|.O.##|XO.##|OX.##|XX.##|	1652
15859	5,129,1049632	5|....O|.....|....O|..X.O|....X|	1652
15860	5,2368,35	5|.....|.....|...X.|.X.XO|...OO|	1652
15861	5,3,18432	5|.....|.....|O..O.|.....|...XX|	1652
15862	5,65,2090	5|.....|.....|...O.|...XO|.O.OX|	1652
15863	5,70,2464	5|.....|.....|...O.|.OOXO|..XX.|	1651
15864	5,1638431,6324255	5|..OOX|X..XO|.....|.....|#####|	1651
15865	5,168,7	5|.....|.....|.....|..X.X|.XOOO|	1651
15866	5,20531199,17351679	5|#..XX|#..XO|#...X|#####|#####|	1651
15867	5,64,8225	5|.....|.....|.O...|...XO|....O|	1651
15868	5,3255923,3247203	5|...##|...##|.X.##|X..##|X..##|	1651
15869	5,3264099,3771771	5|...##|O..##|X..##|XO.##|OO.##|	1651
15870	5,18130233,1623585	5|X...#|OX..#|OX..#|OX..#|XX..#|	1651
15871	5,2229247,17826815	5|O..XO|..X..|.....|#####|#####|	1651
15872	5,33823,10551327	5|.O.O.|...OX|....X|.....|#####|	1651
15873	5,2262015,29688831	5|OOOX.|.OXOX|.....|#####|#####|	1651
15874	5,1048592,64	5|....X|.....|.....|...O.|X....|	1650
15875	5,1877033,1098785	5|....#|XX..#|OX..#|....#|.X..#|	1650
15876	5,1023,22578175	5|O.O.O|O...O|.....|#####|#####|	1650
15877	5,5661695,25691135	5|OOX.X|OXX..|XX...|#####|#####|	1650
15878	5,20464639,21742591	5|#.OXX|#.OOO|#....|#####|#####|	1650
15879	5,2,1050656	5|....O|.....|...O.|....O|...X.|	1650
15880	5,17859583,13108223	5|XOO.X|O...X|.....|#####|#####|	1650
15881	5,3796587,28675187	5|OO.##|XO.##|XX.##|X..##|OX.##|	1650
15882	5,1,17318400	5|O....|O....|O....|O....|....X|	1650
15883	5,10242,10485760	5|.O.O.|.....|.X.X.|.....|...X.|	1650
15884	5,20049267,3247715	5|X..##|...##|XX.##|OX.##|X..##|	1650
15885	5,1099169,1091129	5|....#|....#|XO..#|OXX.#|OO..#|	1650
15886	5,3771763,3255403	5|...##|X..##|.O.##|.X.##|XO.##|	1650
15887	5,67,1312	5|.....|.....|....O|.O.XO|...XX|	1650
15888	5,450,45	5|.....|.....|.....|.XXXO|.OOXO|	1649
15889	5,1180671,20972543	5|O.O.X|..X..|.....|#####|#####|	1649
15890	5,27,228	5|.....|.....|.....|..OOO|XXOXX|	1649
15891	5,3780331,20302947	5|O..##|XO.##|OX.##|X.X##|.X.##|	1649
15892	5,296,0	5|.....|.....|.....|.X..X|.X...|	1649
15893	5,20025343,12169215	5|XO.##|O..##|.O.##|#####|#####|	1649
15894	5,3263971,4041827	5|...##|OO.##|XO.##|.XX##|...##|	1649
15895	5,1082929,1107245	5|....#|....#|OO..#|XO..#|XOO.#|	1649
15896	5,1049599,23135231	5|O.OOX|...O.|.....|#####|#####|	1649
15897	5,5,514	5|.....|.....|.....|O....|..XOX|	1649
15898	5,128,33793	5|.....|....O|....O|..X..|....O|	1649
15899	5,83,32	5|.....|.....|.....|...XO|X..XX|	1649
15900	5,3779955,3525731	5|...##|XO.##|OX.##|.X.##|X..##|	1649
15901	5,1147903,31591423	5|OOOOX|..OXX|...O.|#####|#####|	1649
15902	5,2336,1090	5|.....|.....|...XO|.X.OX|...O.|	1648
15903	5,100,5832858	5|..O.O|O..O.|.....|..OXX|OOXO.|	1648
15904	5,20303475,3771499	5|X..##|OX.##|X..##|X..##|XO.##|	1648
15905	5,1280,327680	5|.....|.O.O.|....X|.X...|.....|	1648
15906	5,2068,16384	5|.....|.....|O..X.|.....|X.X..|	1648
15907	5,3392,34	5|.....|.....|...XX|.X.XO|...O.|	1648
15908	5,320,7	5|.....|.....|.....|.X.X.|..OOO|	1648
15909	5,2819071,12846079	5|.OOX.|XOXX.|.....|#####|#####|	1648
15910	5,10272,2130944	5|...O.|....O|.X.XO|....X|.....|	1648
15911	5,67,1048608	5|....O|.....|.....|...XO|...XX|	1648
15912	5,0,32793	5|.....|....O|.....|.....|OO..O|	1648
15913	5,1352753,1099297	5|....#|.X..#|OX..#|O...#|X...#|	1647
15914	5,19,16777216	5|O....|.....|.....|.....|X..XX|	1647
15915	5,1082399,4194335	5|..O.X|....X|....X|.....|#####|	1647
15916	5,128,52	5|.....|.....|.....|..X.O|O.O..|	1647
15917	5,1311743,20972543	5|O.O.X|.X...|.....|#####|#####|	1647
15918	5,1090609,1082785	5|....#|....#|.X..#|.OO.#|X...#|	1647
15919	5,3,16608	5|.....|.....|O....|..OOO|...XX|	1647
15920	5,33040,0	5|.....|....X|.....|.X...|X....|	1647
15921	5,131103,1083423	5|....O|..X.O|...O.|.....|#####|	1647
15922	5,420,8	5|.....|.....|.....|.XX.X|.OX..|	1647
15923	5,20557427,3247203	5|X..##|X..##|.X.##|X..##|X..##|	1646
15924	5,457,22	5|.....|.....|.....|.XXX.|OXOOX|	1646
15925	5,34,25	5|.....|.....|.....|....X|OO.XO|	1646
15926	5,1190,73	5|.....|.....|....X|..XOX|.OXXO|	1646
15927	5,33280,131232	5|.....|..O.X|.....|X.O.O|.....|	1646
15928	5,1606961,1091105	5|....#|X...#|.O..#|OX..#|X...#|	1646
15929	5,33808,32	5|.....|....X|....X|....O|X....|	1646
15930	5,1,16777236	5|O....|.....|.....|.....|O.O.X|	1646
15931	5,1099321,18392357	5|O...#|O...#|XO..#|XO..#|XXO.#|	1646
15932	5,2305,12	5|.....|.....|...X.|.X...|.OO.X|	1646
15933	5,193,1318	5|.....|.....|....O|.OXXO|..OOX|	1646
15934	5,133,64	5|.....|.....|.....|..XO.|..X.X|	1646
15935	5,322,3105	5|.....|.....|...OO|.X.XO|...XO|	1646
15936	5,74,128	5|.....|.....|.....|..OX.|.X.X.|	1646
15937	5,1153,2	5|.....|.....|....X|..X..|...OX|	1646
15938	5,1269791,7077919	5|..OOX|OOXX.|XX...|.....|#####|	1645
15939	5,68,640	5|.....|.....|.....|O.OX.|..X..|	1645
15940	5,20565119,11897983	5|XO.##|XO.##|X..##|...##|#####|	1645
15941	5,2180,1088	5|.....|.....|...XO|..XO.|..X..|	1645
15942	5,196,65539	5|.....|...O.|.....|..XX.|..XOO|	1645
15943	5,1082431,1868863	5|....#|OO..#|....#|....#|#####|	1645
15944	5,9,524816	5|.....|O....|.....|O....|OX..X|	1645
15945	5,66,2097152	5|...O.|.....|.....|...X.|...X.|	1645
15946	5,2,16777280	5|O....|.....|.....|...O.|...X.|	1645
15947	5,2,209	5|.....|.....|.....|..OO.|O..XO|	1645
15948	5,1360945,1222441	5|....#|.XO.#|XO..#|OO..#|XO..#|	1645
15949	5,88,16777216	5|O....|.....|.....|...X.|XX...|	1645
15950	5,3272051,20811363	5|O..##|OO.##|XX.##|OX.##|X..##|	1645
15951	5,40,1090	5|.....|.....|....O|...OX|.X.O.|	1645
15952	5,49,1088	5|.....|.....|....O|...OX|X...X|	1645
15953	5,3263603,20557803	5|O..##|O..##|XO.##|OOO##|XO.##|	1644
15954	5,3212287,25297919	5|OO.XX|..OX.|.....|#####|#####|	1644
15955	5,128,1072	5|.....|.....|....O|..X.O|O....|	1644
15956	5,216,8400132	5|.O...|.....|.O.OO|.OXX.|XXO..|	1644
15957	5,6,8384	5|.....|.....|.O...|..OO.|..XX.|	1644
15958	5,320,163841	5|.....|..O.O|.....|.X.X.|....O|	1644
15959	5,155,4	5|.....|.....|.....|..X..|XXOXX|	1644
15960	5,1048602,0	5|....X|.....|.....|.....|XX.X.|	1644
15961	5,66,2099328	5|...O.|.....|...O.|..OX.|...X.|	1644
15962	5,2,1050628	5|....O|.....|...O.|.....|..OX.|	1644
15963	5,72,33280	5|.....|....O|.....|O..X.|.X...|	1644
15964	5,6,8389000	5|.O...|.....|.....|.OO..|.OXX.|	1644
15965	5,1082913,18392353	5|O...#|O...#|.O..#|XO..#|....#|	1644
15966	5,35072,1089	5|.....|....X|...XO|.X.O.|....O|	1644
15967	5,0,1073744	5|....O|.....|OO...|O..O.|O....|	1644
15968	5,3526655,20549631	5|O..##|OX.##|X..##|#####|#####|	1643
15969	5,160,1048836	5|....O|.....|.....|.OX.X|..O..|	1643
15970	5,9,8208	5|.....|.....|.O...|.....|OX..X|	1643
15971	5,6,1216	5|.....|.....|....O|..OO.|..XX.|	1643
15972	5,2088,192	5|.....|.....|...X.|..OOX|.X...|	1643
15973	5,3263843,3772019	5|...##|O..##|X..##|OX.##|O..##|	1643
15974	5,66,16810624	5|O....|....O|.....|O.OX.|...X.|	1643
15975	5,3255923,20303203	5|O..##|.O.##|OX.##|XO.##|X..##|	1642
15976	5,3263603,3517539	5|...##|.O.##|XO.##|...##|X..##|	1642
15977	5,1508351,15205375	5|.OOOX|OXXX.|.....|#####|#####|	1642
15978	5,1107233,9471537	5|.O..#|....#|XX..#|OX..#|O...#|	1642
15979	5,1098785,1082429	5|....#|....#|X...#|....#|OOO.#|	1642
15980	5,7,8256	5|.....|.....|.O...|...O.|..XXX|	1642
15981	5,3534847,29069311	5|OO.##|OXO##|XX.##|#####|#####|	1642
