#value	pattern_data	pattern_string	frequency
201	3,0,101	3|..O|O..|O.O|	35162
202	3,70,1	3|..X|...|XXO|	35034
203	3,13,256	3|O..|..X|X.X|	34984
204	3,10,260	3|O..|..X|OX.|	34855
205	3,1,362	3|O.O|O.O|.OX|	34747
206	3,7,15	3|...|..O|###|	34705
207	3,3,164	3|.O.|O..|OXX|	34688
208	3,12,320	3|O.O|..X|X..|	34661
209	3,14,128	3|.O.|..X|XX.|	34473
210	3,42,129	3|.O.|X.X|.XO|	34166
211	3,14,65	3|..O|..X|XXO|	34156
212	3,5,96	3|..O|O..|X.X|	34143
213	3,10,292	3|O..|O.X|OX.|	34104
214	3,1,352	3|O.O|O..|..X|	33976
215	3,71,128	3|.OX|...|XXX|	33944
216	3,1,298	3|O..|O.O|.OX|	33764
217	3,173,64	3|.XO|X.X|X.X|	33633
218	3,1,268	3|O..|..O|O.X|	33573
219	3,0,105	3|..O|O.O|..O|	33471
220	3,1,366	3|O.O|O.O|OOX|	33460
221	3,2,449	3|OOO|...|.XO|	33335
222	3,101,0	3|..X|X..|X.X|	33327
223	3,3,100	3|..O|O..|OXX|	33324
224	3,41,256	3|O..|X.X|..X|	33256
225	3,14,288	3|O..|O.X|XX.|	33209
226	3,0,45	3|...|O.O|O.O|	33089
227	3,41,448	3|OOO|X.X|..X|	32985
228	3,15,7	3|...|..X|###|	32877
229	3,2,328	3|O.O|..O|.X.|	32875
230	3,1,266	3|O..|..O|.OX|	32718
231	3,14,257	3|O..|..X|XXO|	32612
232	3,231,256	3|OXX|X..|XXX|	32611
233	3,41,128	3|.O.|X.X|..X|	32494
234	3,1,300	3|O..|O.O|O.X|	32485
235	3,1,296	3|O..|O.O|..X|	32384
236	3,2,104	3|..O|O.O|.X.|	32235
237	3,45,0	3|...|X.X|X.X|	32185
238	3,7,104	3|..O|O.O|XXX|	32179
239	3,1,302	3|O..|O.O|OOX|	32174
240	3,97,4	3|..X|X..|O.X|	32123
241	3,105,0	3|..X|X.X|..X|	32120
242	3,105,4	3|..X|X.X|O.X|	32109
243	3,12,290	3|O..|O.X|XO.|	32107
244	3,106,4	3|..X|X.X|OX.|	31738
245	3,3,160	3|.O.|O..|.XX|	31674
246	3,70,288	3|O.X|O..|XX.|	31670
247	3,13,128	3|.O.|..X|X.X|	31646
248	3,2,196	3|.OO|...|OX.|	31630
249	3,14,192	3|.OO|..X|XX.|	31518
250	3,1,164	3|.O.|O..|O.X|	31417
251	3,7,72	3|..O|..O|XXX|	31375
252	3,3,292	3|O..|O..|OXX|	31290
253	3,14,256	3|O..|..X|XX.|	31253
254	3,3,108	3|..O|O.O|OXX|	31232
255	3,1,38	3|...|O..|OOX|	31207
256	3,108,3	3|..X|X.X|XOO|	31152
257	3,107,4	3|..X|X.X|OXX|	31097
258	3,3,96	3|..O|O..|.XX|	30980
259	3,2,321	3|O.O|...|.XO|	30950
260	3,2,329	3|O.O|..O|.XO|	30921
261	3,3,392	3|OO.|..O|.XX|	30905
262	3,14,33	3|...|O.X|XXO|	30889
263	3,7,96	3|..O|O..|XXX|	30830
264	3,10,164	3|.O.|O.X|OX.|	30691
265	3,14,160	3|.O.|O.X|XX.|	30669
266	3,70,128	3|.OX|...|XX.|	30508
267	3,109,75	3|..#|X.#|XO#|	30456
268	3,106,5	3|..X|X.X|OXO|	30396
269	3,0,43	3|...|O.O|.OO|	30387
270	3,109,384	3|OOX|X.X|X.X|	30319
271	3,106,257	3|O.X|X.X|.XO|	30048
272	3,365,75	3|X.#|X.#|XO#|	29880
273	3,3,364	3|O.O|O.O|OXX|	29845
274	3,68,163	3|.OX|O..|XOO|	29819
275	3,10,96	3|..O|O.X|.X.|	29786
276	3,71,32	3|..X|O..|XXX|	29780
277	3,2,105	3|..O|O.O|.XO|	29622
278	3,14,96	3|..O|O.X|XX.|	29511
279	3,7,192	3|.OO|...|XXX|	29502
280	3,2,228	3|.OO|O..|OX.|	29468
281	3,98,4	3|..X|X..|OX.|	29428
282	3,1,100	3|..O|O..|O.X|	29361
283	3,43,0	3|...|X.X|.XX|	29332
284	3,69,32	3|..X|O..|X.X|	29288
285	3,107,333	3|O.#|X.#|OX#|	29263
286	3,45,64	3|..O|X.X|X.X|	29246
287	3,105,79	3|..#|X.#|OO#|	29242
288	3,12,448	3|OOO|..X|X..|	29226
289	3,10,288	3|O..|O.X|.X.|	29028
290	3,14,64	3|..O|..X|XX.|	29013
291	3,68,35	3|..X|O..|XOO|	28978
292	3,327,15	3|X.X|..O|###|	28943
293	3,3,360	3|O.O|O.O|.XX|	28926
294	3,0,106	3|..O|O.O|.O.|	28844
295	3,70,256	3|O.X|...|XX.|	28783
296	3,0,109	3|..O|O.O|O.O|	28703
297	3,3,192	3|.OO|...|.XX|	28700
